S 6440e8,4 hit 
L 603b00,4 miss eviction 
S 643d6c,4 hit 
L 603b04,4 hit 
S 643dec,4 hit 
L 603b08,4 hit 
S 643e6c,4 hit 
L 603b0c,4 hit 
S 643eec,4 hit 
L 603b10,4 hit 
S 643f6c,4 hit 
L 603b14,4 hit 
S 643fec,4 hit 
L 603b18,4 hit 
S 64406c,4 hit 
L 603b1c,4 hit 
S 6440ec,4 hit 
L 603b80,4 miss eviction 
S 643d70,4 hit 
L 603b84,4 hit 
S 643df0,4 hit 
L 603b88,4 hit 
S 643e70,4 hit 
L 603b8c,4 hit 
S 643ef0,4 hit 
L 603b90,4 hit 
S 643f70,4 hit 
L 603b94,4 hit 
S 643ff0,4 hit 
L 603b98,4 hit 
S 644070,4 hit 
L 603b9c,4 hit 
S 6440f0,4 hit 
L 603c00,4 miss eviction 
S 643d74,4 hit 
L 603c04,4 hit 
S 643df4,4 hit 
L 603c08,4 hit 
S 643e74,4 hit 
L 603c0c,4 hit 
S 643ef4,4 hit 
L 603c10,4 hit 
S 643f74,4 hit 
L 603c14,4 hit 
S 643ff4,4 hit 
L 603c18,4 hit 
S 644074,4 hit 
L 603c1c,4 hit 
S 6440f4,4 hit 
L 603c80,4 miss eviction 
